good,good,18/18
color,color,1/7
good,good,18/18
scratch,scratch,2/20
good,good,18/18
liquid,liquid,0/9
good,good,18/18
hole,hole,1/9
good,good,19/19
broken_large,broken_large,7/19
good,good,18/19
broken_small,broken_small,18/21
good,good,13/19
contamination,contamination,13/20
good,good,57/57
bent_wire,bent_wire,0/12
good,good,57/57
cable_swap,cable_swap,0/11
good,good,57/57
cut_inner_insulation,cut_inner_insulation,1/13
good,good,57/57
cut_outer_insulation,cut_outer_insulation,0/9
good,good,57/57
missing_cable,missing_cable,0/11
good,good,57/57
missing_wire,missing_wire,0/9
good,good,57/57
poke_insulation,poke_insulation,0/9
good,good,22/22
crack,crack,3/22
good,good,22/22
faulty_imprint,faulty_imprint,1/21
good,good,22/22
poke,poke,1/20
good,good,22/22
scratch,scratch,0/22
good,good,22/22
squeeze,squeeze,0/19
good,good,27/27
color,color,15/18
good,good,24/27
cut,cut,15/16
good,good,26/27
hole,hole,14/16
good,good,24/27
metal_contamination,metal_contamination,4/16
good,good,26/27
thread,thread,9/18
good,good,20/20
bent,bent,3/11
good,good,20/20
broken,broken,2/11
good,good,20/20
glue,glue,0/10
good,good,20/20
metal_contamination,metal_contamination,0/10
good,good,20/20
thread,thread,1/10
good,good,13/39
crack,crack,17/17
good,good,12/39
cut,cut,16/16
good,good,18/39
hole,hole,16/17
good,good,5/39
print,print,14/16
good,good,31/31
color,color,7/18
good,good,31/31
cut,cut,12/18
good,good,31/31
fold,fold,2/16
good,good,31/31
glue,glue,3/18
good,good,31/31
poke,poke,0/17
good,good,15/21
bent,bent,9/24
good,good,8/21
color,color,10/21
good,good,9/21
flip,flip,1/22
good,good,9/21
scratch,scratch,19/22
good,good,24/25
color,color,1/24
good,good,25/25
contamination,contamination,1/20
good,good,25/25
crack,crack,2/25
good,good,25/25
faulty_imprint,faulty_imprint,5/18
good,good,25/25
scratch,scratch,1/23
good,good,24/25
pill_type,pill_type,0/8
good,good,40/40
manipulated_front,manipulated_front,3/23
good,good,39/40
scratch_head,scratch_head,0/23
good,good,40/40
scratch_neck,scratch_neck,1/24
good,good,40/40
thread_side,thread_side,0/22
good,good,40/40
thread_top,thread_top,5/22
good,good,32/32
crack,crack,15/16
good,good,32/32
glue_strip,glue_strip,0/17
good,good,32/32
gray_stroke,gray_stroke,0/15
good,good,32/32
oil,oil,1/17
good,good,32/32
rough,rough,0/14
good,good,9/11
defective,defective,5/29
good,good,59/59
bent_lead,bent_lead,0/9
good,good,51/59
cut_lead,cut_lead,0/9
good,good,39/59
damaged_case,damaged_case,0/9
good,good,55/59
misplaced,misplaced,2/9
good,good,31/31
broken_teeth,broken_teeth,1/18
good,good,31/31
fabric_border,fabric_border,6/16
good,good,31/31
fabric_interior,fabric_interior,0/15
good,good,31/31
rough,rough,2/16
good,good,31/31
split_teeth,split_teeth,0/17
good,good,31/31
squeezed_teeth,squeezed_teeth,0/15
