good,good,17/18
color,color,7/7
good,good,17/18
scratch,scratch,20/20
good,good,17/18
liquid,liquid,9/9
good,good,17/18
hole,hole,7/9
good,good,13/19
broken_large,broken_large,18/19
good,good,13/19
broken_small,broken_small,21/21
good,good,13/19
contamination,contamination,16/20
good,good,3/57
bent_wire,bent_wire,11/12
good,good,3/57
cable_swap,cable_swap,11/11
good,good,2/57
cut_inner_insulation,cut_inner_insulation,13/13
good,good,2/57
cut_outer_insulation,cut_outer_insulation,8/9
good,good,3/57
missing_cable,missing_cable,11/11
good,good,3/57
missing_wire,missing_wire,9/9
good,good,2/57
poke_insulation,poke_insulation,9/9
good,good,18/22
crack,crack,9/22
good,good,18/22
faulty_imprint,faulty_imprint,2/21
good,good,22/22
poke,poke,5/20
good,good,20/22
scratch,scratch,3/22
good,good,22/22
squeeze,squeeze,4/19
good,good,20/27
color,color,18/18
good,good,22/27
cut,cut,16/16
good,good,13/27
hole,hole,16/16
good,good,20/27
metal_contamination,metal_contamination,15/16
good,good,22/27
thread,thread,18/18
good,good,20/20
bent,bent,3/11
good,good,20/20
broken,broken,5/11
good,good,20/20
glue,glue,3/10
good,good,20/20
metal_contamination,metal_contamination,2/10
good,good,20/20
thread,thread,4/10
good,good,1/39
crack,crack,17/17
good,good,1/39
cut,cut,16/16
good,good,1/39
hole,hole,17/17
good,good,3/39
print,print,13/16
good,good,31/31
color,color,16/18
good,good,31/31
cut,cut,13/18
good,good,31/31
fold,fold,11/16
good,good,31/31
glue,glue,11/18
good,good,31/31
poke,poke,14/17
good,good,7/21
bent,bent,24/24
good,good,9/21
color,color,21/21
good,good,7/21
flip,flip,22/22
good,good,8/21
scratch,scratch,22/22
good,good,0/25
color,color,24/24
good,good,0/25
contamination,contamination,20/20
good,good,0/25
crack,crack,25/25
good,good,0/25
faulty_imprint,faulty_imprint,18/18
good,good,0/25
scratch,scratch,23/23
good,good,0/25
pill_type,pill_type,8/8
good,good,40/40
manipulated_front,manipulated_front,4/23
good,good,38/40
scratch_head,scratch_head,2/23
good,good,37/40
scratch_neck,scratch_neck,3/24
good,good,40/40
thread_side,thread_side,0/22
good,good,39/40
thread_top,thread_top,5/22
good,good,11/32
crack,crack,16/16
good,good,5/32
glue_strip,glue_strip,17/17
good,good,5/32
gray_stroke,gray_stroke,15/15
good,good,6/32
oil,oil,17/17
good,good,5/32
rough,rough,14/14
good,good,3/11
defective,defective,27/29
good,good,54/59
bent_lead,bent_lead,3/9
good,good,54/59
cut_lead,cut_lead,3/9
good,good,55/59
damaged_case,damaged_case,7/9
good,good,53/59
misplaced,misplaced,5/9
good,good,31/31
broken_teeth,broken_teeth,9/18
good,good,26/31
fabric_border,fabric_border,15/16
good,good,31/31
fabric_interior,fabric_interior,3/15
good,good,31/31
rough,rough,6/16
good,good,31/31
split_teeth,split_teeth,2/17
good,good,31/31
squeezed_teeth,squeezed_teeth,2/15
