good,good,17/18
color,color,7/7
good,good,17/18
scratch,scratch,20/20
good,good,17/18
liquid,liquid,9/9
good,good,17/18
hole,hole,7/9
good,good,4/19
broken_large,broken_large,19/19
good,good,2/19
broken_small,broken_small,21/21
good,good,2/19
contamination,contamination,20/20
good,good,1/57
bent_wire,bent_wire,11/12
good,good,1/57
cable_swap,cable_swap,11/11
good,good,1/57
cut_inner_insulation,cut_inner_insulation,13/13
good,good,1/57
cut_outer_insulation,cut_outer_insulation,9/9
good,good,1/57
missing_cable,missing_cable,11/11
good,good,1/57
missing_wire,missing_wire,9/9
good,good,1/57
poke_insulation,poke_insulation,9/9
good,good,19/22
crack,crack,19/22
good,good,20/22
faulty_imprint,faulty_imprint,16/21
good,good,22/22
poke,poke,14/20
good,good,19/22
scratch,scratch,14/22
good,good,22/22
squeeze,squeeze,15/19
good,good,27/27
color,color,17/18
good,good,27/27
cut,cut,16/16
good,good,27/27
hole,hole,15/16
good,good,27/27
metal_contamination,metal_contamination,14/16
good,good,27/27
thread,thread,12/18
good,good,20/20
bent,bent,6/11
good,good,20/20
broken,broken,8/11
good,good,20/20
glue,glue,6/10
good,good,20/20
metal_contamination,metal_contamination,6/10
good,good,20/20
thread,thread,6/10
good,good,2/39
crack,crack,17/17
good,good,1/39
cut,cut,16/16
good,good,2/39
hole,hole,17/17
good,good,1/39
print,print,16/16
good,good,31/31
color,color,18/18
good,good,31/31
cut,cut,18/18
good,good,31/31
fold,fold,13/16
good,good,31/31
glue,glue,18/18
good,good,31/31
poke,poke,17/17
good,good,0/21
bent,bent,24/24
good,good,0/21
color,color,21/21
good,good,0/21
flip,flip,22/22
good,good,0/21
scratch,scratch,22/22
good,good,8/25
color,color,20/24
good,good,10/25
contamination,contamination,20/20
good,good,10/25
crack,crack,21/25
good,good,11/25
faulty_imprint,faulty_imprint,18/18
good,good,4/25
scratch,scratch,22/23
good,good,18/25
pill_type,pill_type,7/8
good,good,13/40
manipulated_front,manipulated_front,22/23
good,good,11/40
scratch_head,scratch_head,23/23
good,good,11/40
scratch_neck,scratch_neck,22/24
good,good,17/40
thread_side,thread_side,18/22
good,good,17/40
thread_top,thread_top,22/22
good,good,22/32
crack,crack,16/16
good,good,22/32
glue_strip,glue_strip,17/17
good,good,9/32
gray_stroke,gray_stroke,14/15
good,good,16/32
oil,oil,17/17
good,good,10/32
rough,rough,14/14
good,good,0/11
defective,defective,29/29
good,good,57/59
bent_lead,bent_lead,1/9
good,good,57/59
cut_lead,cut_lead,1/9
good,good,57/59
damaged_case,damaged_case,6/9
good,good,57/59
misplaced,misplaced,3/9
good,good,31/31
broken_teeth,broken_teeth,3/18
good,good,31/31
fabric_border,fabric_border,8/16
good,good,31/31
fabric_interior,fabric_interior,0/15
good,good,31/31
rough,rough,4/16
good,good,31/31
split_teeth,split_teeth,3/17
good,good,31/31
squeezed_teeth,squeezed_teeth,1/15
