good,good,16/18
color,color,7/7
good,good,16/18
scratch,scratch,18/20
good,good,16/18
liquid,liquid,2/9
good,good,16/18
hole,hole,2/9
good,good,13/19
broken_large,broken_large,12/19
good,good,12/19
broken_small,broken_small,11/21
good,good,11/19
contamination,contamination,2/20
good,good,0/57
bent_wire,bent_wire,12/12
good,good,0/57
cable_swap,cable_swap,11/11
good,good,0/57
cut_inner_insulation,cut_inner_insulation,13/13
good,good,0/57
cut_outer_insulation,cut_outer_insulation,9/9
good,good,0/57
missing_cable,missing_cable,11/11
good,good,0/57
missing_wire,missing_wire,9/9
good,good,0/57
poke_insulation,poke_insulation,9/9
good,good,22/22
crack,crack,4/22
good,good,22/22
faulty_imprint,faulty_imprint,0/21
good,good,22/22
poke,poke,1/20
good,good,22/22
scratch,scratch,0/22
good,good,22/22
squeeze,squeeze,0/19
good,good,27/27
color,color,15/18
good,good,27/27
cut,cut,14/16
good,good,27/27
hole,hole,15/16
good,good,26/27
metal_contamination,metal_contamination,6/16
good,good,27/27
thread,thread,15/18
good,good,17/20
bent,bent,7/11
good,good,20/20
broken,broken,7/11
good,good,18/20
glue,glue,5/10
good,good,18/20
metal_contamination,metal_contamination,4/10
good,good,18/20
thread,thread,9/10
good,good,3/39
crack,crack,17/17
good,good,1/39
cut,cut,16/16
good,good,1/39
hole,hole,17/17
good,good,1/39
print,print,15/16
good,good,31/31
color,color,11/18
good,good,31/31
cut,cut,17/18
good,good,31/31
fold,fold,13/16
good,good,31/31
glue,glue,4/18
good,good,31/31
poke,poke,16/17
good,good,13/21
bent,bent,20/24
good,good,12/21
color,color,18/21
good,good,13/21
flip,flip,13/22
good,good,13/21
scratch,scratch,22/22
good,good,10/25
color,color,13/24
good,good,15/25
contamination,contamination,14/20
good,good,16/25
crack,crack,15/25
good,good,0/25
faulty_imprint,faulty_imprint,18/18
good,good,13/25
scratch,scratch,17/23
good,good,9/25
pill_type,pill_type,4/8
good,good,40/40
manipulated_front,manipulated_front,5/23
good,good,40/40
scratch_head,scratch_head,1/23
good,good,40/40
scratch_neck,scratch_neck,3/24
good,good,40/40
thread_side,thread_side,1/22
good,good,40/40
thread_top,thread_top,4/22
good,good,32/32
crack,crack,15/16
good,good,31/32
glue_strip,glue_strip,15/17
good,good,28/32
gray_stroke,gray_stroke,7/15
good,good,31/32
oil,oil,11/17
good,good,31/32
rough,rough,8/14
good,good,10/11
defective,defective,15/29
good,good,52/59
bent_lead,bent_lead,3/9
good,good,54/59
cut_lead,cut_lead,2/9
good,good,53/59
damaged_case,damaged_case,6/9
good,good,52/59
misplaced,misplaced,5/9
good,good,31/31
broken_teeth,broken_teeth,1/18
good,good,31/31
fabric_border,fabric_border,0/16
good,good,31/31
fabric_interior,fabric_interior,0/15
good,good,31/31
rough,rough,0/16
good,good,31/31
split_teeth,split_teeth,0/17
good,good,31/31
squeezed_teeth,squeezed_teeth,0/15
