good,good,16/18
color,color,1/7
good,good,16/18
scratch,scratch,6/20
good,good,16/18
liquid,liquid,1/9
good,good,16/18
hole,hole,6/9
good,good,7/19
broken_large,broken_large,18/19
good,good,4/19
broken_small,broken_small,13/21
good,good,4/19
contamination,contamination,16/20
good,good,3/57
bent_wire,bent_wire,12/12
good,good,6/57
cable_swap,cable_swap,11/11
good,good,4/57
cut_inner_insulation,cut_inner_insulation,13/13
good,good,4/57
cut_outer_insulation,cut_outer_insulation,9/9
good,good,4/57
missing_cable,missing_cable,7/11
good,good,3/57
missing_wire,missing_wire,9/9
good,good,3/57
poke_insulation,poke_insulation,9/9
good,good,22/22
crack,crack,11/22
good,good,22/22
faulty_imprint,faulty_imprint,4/21
good,good,22/22
poke,poke,6/20
good,good,22/22
scratch,scratch,6/22
good,good,22/22
squeeze,squeeze,7/19
good,good,27/27
color,color,1/18
good,good,27/27
cut,cut,3/16
good,good,27/27
hole,hole,0/16
good,good,27/27
metal_contamination,metal_contamination,8/16
good,good,27/27
thread,thread,2/18
good,good,20/20
bent,bent,3/11
good,good,20/20
broken,broken,4/11
good,good,20/20
glue,glue,2/10
good,good,20/20
metal_contamination,metal_contamination,0/10
good,good,20/20
thread,thread,5/10
good,good,5/39
crack,crack,17/17
good,good,2/39
cut,cut,16/16
good,good,4/39
hole,hole,17/17
good,good,2/39
print,print,14/16
good,good,31/31
color,color,6/18
good,good,31/31
cut,cut,7/18
good,good,31/31
fold,fold,5/16
good,good,31/31
glue,glue,6/18
good,good,31/31
poke,poke,11/17
good,good,5/21
bent,bent,7/24
good,good,0/21
color,color,18/21
good,good,0/21
flip,flip,20/22
good,good,0/21
scratch,scratch,12/22
good,good,0/25
color,color,6/24
good,good,0/25
contamination,contamination,20/20
good,good,0/25
crack,crack,17/25
good,good,0/25
faulty_imprint,faulty_imprint,16/18
good,good,0/25
scratch,scratch,18/23
good,good,2/25
pill_type,pill_type,7/8
good,good,40/40
manipulated_front,manipulated_front,1/23
good,good,40/40
scratch_head,scratch_head,0/23
good,good,40/40
scratch_neck,scratch_neck,4/24
good,good,40/40
thread_side,thread_side,0/22
good,good,40/40
thread_top,thread_top,2/22
good,good,0/32
crack,crack,16/16
good,good,0/32
glue_strip,glue_strip,13/17
good,good,0/32
gray_stroke,gray_stroke,6/15
good,good,0/32
oil,oil,2/17
good,good,0/32
rough,rough,11/14
good,good,10/11
defective,defective,14/29
good,good,58/59
bent_lead,bent_lead,1/9
good,good,59/59
cut_lead,cut_lead,2/9
good,good,59/59
damaged_case,damaged_case,6/9
good,good,59/59
misplaced,misplaced,1/9
good,good,31/31
broken_teeth,broken_teeth,1/18
good,good,31/31
fabric_border,fabric_border,1/16
good,good,31/31
fabric_interior,fabric_interior,0/15
good,good,31/31
rough,rough,0/16
good,good,31/31
split_teeth,split_teeth,1/17
good,good,31/31
squeezed_teeth,squeezed_teeth,0/15
