good,good,15/18
color,color,4/7
good,good,15/18
scratch,scratch,17/20
good,good,15/18
liquid,liquid,5/9
good,good,15/18
hole,hole,9/9
good,good,13/19
broken_large,broken_large,18/19
good,good,13/19
broken_small,broken_small,21/21
good,good,6/19
contamination,contamination,18/20
good,good,9/57
bent_wire,bent_wire,11/12
good,good,9/57
cable_swap,cable_swap,11/11
good,good,10/57
cut_inner_insulation,cut_inner_insulation,12/13
good,good,10/57
cut_outer_insulation,cut_outer_insulation,7/9
good,good,11/57
missing_cable,missing_cable,11/11
good,good,13/57
missing_wire,missing_wire,8/9
good,good,12/57
poke_insulation,poke_insulation,8/9
good,good,22/22
crack,crack,6/22
good,good,22/22
faulty_imprint,faulty_imprint,3/21
good,good,22/22
poke,poke,5/20
good,good,22/22
scratch,scratch,4/22
good,good,22/22
squeeze,squeeze,4/19
good,good,27/27
color,color,10/18
good,good,27/27
cut,cut,2/16
good,good,27/27
hole,hole,5/16
good,good,27/27
metal_contamination,metal_contamination,8/16
good,good,27/27
thread,thread,10/18
good,good,20/20
bent,bent,5/11
good,good,20/20
broken,broken,9/11
good,good,20/20
glue,glue,7/10
good,good,20/20
metal_contamination,metal_contamination,4/10
good,good,20/20
thread,thread,6/10
good,good,1/39
crack,crack,17/17
good,good,0/39
cut,cut,16/16
good,good,0/39
hole,hole,17/17
good,good,0/39
print,print,16/16
good,good,31/31
color,color,0/18
good,good,31/31
cut,cut,17/18
good,good,31/31
fold,fold,12/16
good,good,31/31
glue,glue,8/18
good,good,31/31
poke,poke,16/17
good,good,11/21
bent,bent,23/24
good,good,6/21
color,color,19/21
good,good,9/21
flip,flip,18/22
good,good,11/21
scratch,scratch,22/22
good,good,0/25
color,color,24/24
good,good,0/25
contamination,contamination,20/20
good,good,0/25
crack,crack,24/25
good,good,0/25
faulty_imprint,faulty_imprint,18/18
good,good,1/25
scratch,scratch,22/23
good,good,0/25
pill_type,pill_type,8/8
good,good,32/40
manipulated_front,manipulated_front,5/23
good,good,35/40
scratch_head,scratch_head,9/23
good,good,33/40
scratch_neck,scratch_neck,10/24
good,good,35/40
thread_side,thread_side,5/22
good,good,37/40
thread_top,thread_top,6/22
good,good,5/32
